BJD,RV,e_RV,FWHM,e_FWHM,RVTM,e_RVTM,Subset
2458622.647677,-21364.41856, 0.26777,3852.99720, 0.53554,-21361.58670, 0.13610,ESP18
2458624.752261,-21365.73062, 0.38091,3849.14824, 0.76181,-21362.28750, 0.18961,ESP18
2458625.750234,-21365.80174, 0.32509,3848.83818, 0.65018,-21362.61513, 0.16888,ESP18
2458626.609047,-21366.78051, 0.26002,3847.86088, 0.52004,-21363.60595, 0.13129,ESP18
2458628.765921,-21365.95489, 0.30290,3846.10647, 0.60579,-21362.78155, 0.15522,ESP18
2458633.532403,-21362.97154, 0.24385,3844.57643, 0.48770,-21359.32591, 0.12660,ESP18
2458635.789497,-21363.90068, 0.44454,3844.53925, 0.88907,-21359.81860, 0.21893,ESP18
2458637.480720,-21366.14487, 0.27033,3845.99234, 0.54066,-21362.49129, 0.13740,ESP18
2458638.604008,-21365.90664, 0.27561,3846.75401, 0.55123,-21362.29542, 0.13748,ESP18
2458639.672124,-21365.17513, 0.35704,3844.37174, 0.71408,-21361.57885, 0.17398,ESP18
2458642.710637,-21364.69167, 0.21864,3846.59506, 0.43728,-21360.52632, 0.11248,ESP18
2458645.576129,-21363.17299, 0.35658,3843.70158, 0.71316,-21359.43049, 0.17838,ESP18
2458645.625267,-21362.87939, 0.45968,3843.36092, 0.91936,-21359.20973, 0.22912,ESP18
2458647.710441,-21366.79463, 0.51043,3843.72416, 1.02086,-21361.40534, 0.25595,ESP18
2458667.580224,-21363.02260, 0.37706,3838.18805, 0.75413,-21358.85271, 0.18534,ESP19
2458678.597355,-21360.87856, 0.20762,3837.41060, 0.41524,-21356.75095, 0.09811,ESP19
2458684.580098,-21360.64027, 0.21940,3844.38980, 0.43879,-21356.09050, 0.10415,ESP19
2458688.514768,-21358.26595, 0.30227,3850.41031, 0.60455,-21353.96963, 0.14467,ESP19
2458700.565095,-21360.65811, 0.27817,3865.24410, 0.55633,-21357.72053, 0.13144,ESP19
2458706.494058,-21363.30218, 0.20653,3860.00873, 0.41307,-21360.47890, 0.09720,ESP19
2458716.505247,-21362.92547, 0.19555,3844.92996, 0.39109,-21359.34229, 0.09211,ESP19
2458718.511607,-21362.86660, 0.27171,3843.05652, 0.54341,-21359.02970, 0.12511,ESP19
